Open Time,Open Price,High Price,Low Price,Close Price,Volume,Number of Trades,Taker Buy Base Volume,SMA 3,SMA 7,SMA 20,EMA 3,EMA 7,EMA 20,RSI 14,Bollinger Band Upper 20,Bollinger Band Lower 20,"MACD Line (12,26)",MACD Signal Line (9),MACD Histogram,Current True Range,ATR 14,On-Balance Volume,Momentum 10,Rate of Change 14,Williams %R 14,Stochastic %K,Stochastic %D,Percent Change,Last Day Open Price,Last Day High Price,Last Day Low Price,Last Day Close Price,Last Day Volume,Last Day Number of Trades,Last Day Taker Buy Base Volume,Last Day Percent Change,Last Day RSI 14,Last Day Bollinger Band Upper 20,Last Day Bollinger Band Lower 20,"Last Day MACD Line (12,26)",Last Day MACD Signal Line (9),Last Day MACD Histogram,Last Day True Range,Last Day ATR 14,Last Day On-Balance Volume,Last Day Momentum 10,Last Day Rate of Change 14,Last Day Williams %R 14,Last Day Stochastic %K,Last Day Stochastic %D,Last Day SMA 3,Last Day EMA 3,Last Day SMA 7,Last Day EMA 7,Last Day SMA 20,Last Day EMA 20,Last 3 Days Total Trades,Last 3 Days Avg Taker Buy Base Volume,Last 7 Days Total Trades,Last 7 Days Avg Taker Buy Base Volume
2019-02-28,0.33,0.489,0.301,0.3554,153340418.22,100546.0,70635427.88,,,,0.3554,0.3554,0.3554,,,,0.0,0.0,0.0,0.188,,-153340418.22,,,,,,7.696969696969689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,0.3554,0.4768,0.3502,0.4426,122476704.43,115815.0,61332783.24,,,,0.399,0.3772,0.36370476190476186,,,,0.006956125356125387,0.0013912250712250773,0.005564900284900309,0.1266,,-30863713.78999999,,,,,,24.53573438379291,0.33,0.489,0.301,0.3554,153340418.22,100546.0,70635427.88,7.696969696969689,,,,0.0,0.0,0.0,0.188,,-153340418.22,,,,,,,0.3554,,0.3554,,0.3554,,,,
2019-03-02,0.443,0.4431,0.3801,0.4026,50660886.62,52610.0,22505018.94,0.40020000000000006,,,0.40080000000000005,0.38355,0.36740907029478453,,,,0.009135925844757753,0.0029401652259316126,0.00619576061882614,0.063,,-81524600.41,,,,,,-9.119638826185101,0.3554,0.4768,0.3502,0.4426,122476704.43,115815.0,61332783.24,24.53573438379291,,,,0.006956125356125387,0.0013912250712250773,0.005564900284900309,0.1266,,-30863713.78999999,,,,,,,0.399,,0.3772,,0.36370476190476186,,,,
2019-03-03,0.402,0.429,0.3537,0.3639,41110679.59,45189.0,18442064.83,0.40303333333333335,,,0.38235,0.37863749999999996,0.3670748731238527,,,,0.00765245413819049,0.003882623008383388,0.0037698311298071017,0.07529999999999998,,-122635280.0,,,,,,-9.477611940298512,0.443,0.4431,0.3801,0.4026,50660886.62,52610.0,22505018.94,-9.119638826185101,,,,0.009135925844757753,0.0029401652259316126,0.00619576061882614,0.063,,-81524600.41,,,,,,0.40020000000000006,0.40080000000000005,,0.38355,,0.36740907029478453,268971.0,51491076.68666667,,
2019-03-04,0.3639,0.3782,0.3226,0.3309,66614590.51,48163.0,32961625.27,0.36579999999999996,,,0.356625,0.36670312499999996,0.3636296471120572,,,,0.003770503893578636,0.0038601991854224377,-8.969529184380161e-05,0.05559999999999998,,-189249870.51,,,,,,-9.06842539159109,0.402,0.429,0.3537,0.3639,41110679.59,45189.0,18442064.83,-9.477611940298512,,,,0.00765245413819049,0.003882623008383388,0.0037698311298071017,0.07529999999999998,,-122635280.0,,,,,,0.40303333333333335,0.38235,,0.37863749999999996,,0.3670748731238527,213614.0,34093289.00333334,,
2019-03-05,0.3309,0.3456,0.305,0.3137,61152467.51,58231.0,27160004.97,0.33616666666666667,,,0.33516250000000003,0.35345234375,0.35887444262519463,,,,-0.0006859585931524026,0.00295096762970747,-0.0036369262228598724,0.040600000000000025,,-250402338.01999998,,,,,,-5.197944998488984,0.3639,0.3782,0.3226,0.3309,66614590.51,48163.0,32961625.27,-9.06842539159109,,,,0.003770503893578636,0.0038601991854224377,-8.969529184380161e-05,0.05559999999999998,,-189249870.51,,,,,,0.36579999999999996,0.356625,,0.36670312499999996,,0.3636296471120572,145962.0,24636236.346666664,,
2019-03-06,0.3136,0.3299,0.3061,0.31,30721731.0,48360.0,14154713.55,0.3182,0.35987142857142856,,0.32258125000000004,0.34258925781250005,0.3542197338037475,,,,-0.004464828534686327,0.0014678083968287107,-0.005932636931515038,0.023800000000000043,,-281124069.02,,,,,,-1.1479591836734668,0.3309,0.3456,0.305,0.3137,61152467.51,58231.0,27160004.97,-5.197944998488984,,,,-0.0006859585931524026,0.00295096762970747,-0.0036369262228598724,0.040600000000000025,,-250402338.01999998,,,,,,0.33616666666666667,0.33516250000000003,,0.35345234375,,0.35887444262519463,151583.0,26187898.356666666,,
2019-03-07,0.31,0.366,0.3075,0.3478,73918772.24,68866.0,36064340.7,0.3238333333333333,0.35878571428571426,,0.335190625,0.343891943359375,0.35360833058434293,,,,-0.004359215770535552,0.0003024035633558583,-0.00466161933389141,0.058499999999999996,,-207205296.77999997,,,,,,12.193548387096774,0.3136,0.3299,0.3061,0.31,30721731.0,48360.0,14154713.55,-1.1479591836734668,,,,-0.004464828534686327,0.0014678083968287107,-0.005932636931515038,0.023800000000000043,,-281124069.02,,,,,,0.3182,0.32258125000000004,0.35987142857142856,0.34258925781250005,,0.3542197338037475,154754.0,24758781.263333336,468914.0,35313091.24
2019-03-08,0.3476,0.3504,0.28,0.2875,46682378.21,43305.0,18812707.95,0.3151,0.3366285714285714,,0.31134531249999997,0.3297939575195312,0.3473122991001198,,,,-0.009037049465055236,-0.0015654870423263607,-0.0074715624227288755,0.07039999999999996,,-253887674.98999998,,,,,,-17.289988492520152,0.31,0.366,0.3075,0.3478,73918772.24,68866.0,36064340.7,12.193548387096774,,,,-0.004359215770535552,0.0003024035633558583,-0.00466161933389141,0.058499999999999996,,-207205296.77999997,,,,,,0.3238333333333333,0.335190625,0.35878571428571426,0.343891943359375,,0.35360833058434293,175457.0,25793019.74,437234.0,30374364.5
2019-03-09,0.2873,0.2956,0.2675,0.2678,37817821.7,32068.0,16272362.67,0.3010333333333333,0.3173714285714286,,0.28957265624999995,0.3142954681396484,0.3397396991858227,,,,-0.014170542536658337,-0.004086498141192756,-0.01008404439546558,0.02809999999999996,,-291705496.69,,,,,,-6.7873303167420875,0.3476,0.3504,0.28,0.2875,46682378.21,43305.0,18812707.95,-17.289988492520152,,,,-0.009037049465055236,-0.0015654870423263607,-0.0074715624227288755,0.07039999999999996,,-253887674.98999998,,,,,,0.3151,0.31134531249999997,0.3366285714285714,0.3297939575195312,,0.3473122991001198,160531.0,23010587.400000002,364724.0,24300068.029999997
2019-03-10,0.2678,0.2679,0.238,0.255,42782586.81,35875.0,19855065.35,0.2701,0.3018142857142857,,0.272286328125,0.29947160110473636,0.33166925164431577,,,,-0.0190521049997473,-0.007079619512903665,-0.011972485486843633,0.029900000000000038,,-334488083.5,-0.10039999999999999,,,,,-4.779686333084383,0.2873,0.2956,0.2675,0.2678,37817821.7,32068.0,16272362.67,-6.7873303167420875,,,,-0.014170542536658337,-0.004086498141192756,-0.01008404439546558,0.02809999999999996,,-291705496.69,,,,,,0.3010333333333333,0.28957265624999995,0.3173714285714286,0.3142954681396484,,0.3397396991858227,144239.0,23716470.44,344182.0,23409688.562857144
2019-03-11,0.2548,0.2768,0.2138,0.2173,42628057.43,34997.0,19655916.03,0.2467,0.2855857142857143,,0.24479316406249998,0.27892870082855226,0.32077694196390477,,,,-0.025666980376814197,-0.010797091685685772,-0.014869888691128425,0.063,,-377116140.93,-0.2253,,,,,-14.717425431711156,0.2678,0.2679,0.238,0.255,42782586.81,35875.0,19855065.35,-4.779686333084383,,,,-0.0190521049997473,-0.007079619512903665,-0.011972485486843633,0.029900000000000038,,-334488083.5,-0.10039999999999999,,,,,0.2701,0.272286328125,0.3018142857142857,0.29947160110473636,,0.33166925164431577,111248.0,18313378.65666667,334868.0,23611545.78
2019-03-12,0.2173,0.2414,0.2087,0.2202,34036963.2,23287.0,14978463.52,0.23083333333333333,0.27222857142857143,,0.23249658203125,0.2642465256214142,0.31119818558639006,,,,-0.03032573481324191,-0.014702820311197,-0.01562291450204491,0.03270000000000001,,-343079177.73,-0.1824,,,,,1.3345605154164812,0.2548,0.2768,0.2138,0.2173,42628057.43,34997.0,19655916.03,-14.717425431711156,,,,-0.025666980376814197,-0.010797091685685772,-0.014869888691128425,0.063,,-377116140.93,-0.2253,,,,,0.2467,0.24479316406249998,0.2855857142857143,0.27892870082855226,,0.32077694196390477,102940.0,18594448.01666667,321702.0,21710730.174285714
2019-03-13,0.2206,0.2583,0.2206,0.2456,49772747.64,37274.0,23399922.86,0.2277,0.26302857142857144,,0.23904829101562503,0.2595848942160607,0.3049507393400672,36.81556195965418,,,-0.031603952849608485,-0.0180830468188793,-0.013520906030729186,0.037699999999999984,0.0638,-293306430.09000003,-0.11829999999999999,,-86.83553335711737,13.164466642882633,,11.332728921124218,0.2173,0.2414,0.2087,0.2202,34036963.2,23287.0,14978463.52,1.3345605154164812,,,,-0.03032573481324191,-0.014702820311197,-0.01562291450204491,0.03270000000000001,,-343079177.73,-0.1824,,,,,0.23083333333333333,0.23249658203125,0.27222857142857143,0.2642465256214142,,0.31119818558639006,94159.0,18163148.3,286758.0,19970509.967142858
