Open Time,Open Price,High Price,Low Price,Close Price,Volume,Number of Trades,Taker Buy Base Volume,SMA 3,SMA 7,SMA 20,EMA 3,EMA 7,EMA 20,RSI 14,Bollinger Band Upper 20,Bollinger Band Lower 20,"MACD Line (12,26)",MACD Signal Line (9),MACD Histogram,Current True Range,ATR 14,On-Balance Volume,Momentum 10,Rate of Change 14,Williams %R 14,Stochastic %K,Stochastic %D,Percent Change,Last Day Open Price,Last Day High Price,Last Day Low Price,Last Day Close Price,Last Day Volume,Last Day Number of Trades,Last Day Taker Buy Volume,Last Day Percentage Change,Last Day RSI 14,Last Day Bollinger Band Upper 20,Last Day Bollinger Band Lower 20,"Last Day MACD Line (12,26)",Last Day MACD Signal Line (9),Last Day MACD Histogram,Last Day True Range,Last Day ATR 14,Last Day On-Balance Volume,Last Day Momentum 10,Last Day Rate of Change 14,Last Day Williams %R 14,Last Day Stochastic %K,Last Day Stochastic %D,Last Day SMA 3,Last Day EMA 3,Last Day SMA 7,Last Day EMA 7,Last Day SMA 20,Last Day EMA 20,Last 3 Days Total Trades,Last 3 Days Avg Taker Buy Volume,Last 7 Days Total Trades,Last 7 Days Avg Taker Buy Volume
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,3427.0,616.248541,,,,4285.08,4285.08,4285.08,,,,0.0,0.0,0.0,284.65000000000055,,-795.150377,,,,,,0.553798210950195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,5233.0,972.86871,,,,4196.725,4240.9025,4268.250476190477,,,,-14.096524216523903,-2.819304843304781,-11.277219373219122,432.75000000000045,,-1995.038641,,,,,,-4.123843662195339,4261.48,4485.39,4200.74,4285.08,795.150377,3427.0,616.248541,0.553798210950195,,,,0.0,0.0,0.0,284.65000000000055,,-795.150377,,,,,,,4285.08,,4285.08,,4285.08,,,,
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,2153.0,274.336042,4177.81,,,4168.3525,4215.671875,4256.034240362812,,,,-22.45856997913961,-6.747157870471748,-15.711412108667863,334.6899999999996,,-1613.7288780000001,,,,,,0.7694048978061779,4285.08,4371.52,3938.77,4108.37,1199.888264,5233.0,972.86871,-4.123843662195339,,,,-14.096524216523903,-2.819304843304781,-11.277219373219122,432.75000000000045,,-1995.038641,,,,,,,4196.725,,4240.9025,,4268.250476190477,,,,
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,2321.0,376.795947,4111.546666666666,,,4127.32125,4183.32640625,4239.86812223302,,,,-33.037055178007904,-12.005137331978979,-21.031917846028925,178.46000000000004,,-2080.8119,,,,,,-0.8417900596459968,4108.37,4184.69,3850.0,4139.98,381.309763,2153.0,274.336042,0.7694048978061779,,,,-22.45856997913961,-6.747157870471748,-15.711412108667863,334.6899999999996,,-1613.7288780000001,,,,,,4177.81,4168.3525,,4215.671875,,4256.034240362812,10813.0,621.1510976666667,,
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,3972.0,557.356107,4080.7566666666667,,,4071.660625,4141.4948046875,4218.547348687018,,,,-46.55573098705827,-18.915256062994835,-27.640474924063433,207.82999999999993,,-2772.5549600000004,,,,,,-1.3056845074991486,4120.98,4211.08,4032.62,4086.29,467.083022,2321.0,376.795947,-0.8417900596459968,,,,-33.037055178007904,-12.005137331978979,-21.031917846028925,178.46000000000004,,-2080.8119,,,,,,4111.546666666666,4127.32125,,4183.32640625,,4239.86812223302,9707.0,541.3335663333334,,
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,6494.0,423.995181,4047.4300000000003,,,4055.8303125,4116.121103515625,4201.542839288254,,,,-54.70220655270168,-26.072646160936205,-28.629560391765477,704.8199999999997,,-1805.8701020000003,,,,,,0.5976095617529881,4069.13,4119.62,3911.79,4016.0,691.74306,3972.0,557.356107,-1.3056845074991486,,,,-46.55573098705827,-18.915256062994835,-27.640474924063433,207.82999999999993,,-2772.5549600000004,,,,,,4080.7566666666667,4071.660625,,4141.4948046875,,4218.547348687018,8446.0,402.8293653333333,,
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,8629.0,309.419092,4056.67,4112.818571428571,,4084.92015625,4115.593327636719,4193.206378403658,,,,-54.5574542858667,-31.769607785922307,-22.78784649994439,251.9100000000003,,-804.7335370000003,,,,,,1.8319306930693124,4016.0,4104.82,3400.0,4040.0,966.684858,6494.0,423.995181,0.5976095617529881,,,,-54.70220655270168,-26.072646160936205,-28.629560391765477,704.8199999999997,,-1805.8701020000003,,,,,,4047.4300000000003,4055.8303125,,4116.121103515625,,4201.542839288254,12787.0,452.71574499999997,,
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,6247.0,206.820412,4156.673333333333,4117.237142857143,,4200.465078125,4165.69749572754,4204.901961412834,,,,-37.70834690545962,-32.957355609829776,-4.750991295629845,286.6700000000001,,-17.31478400000026,,,,,,4.075476247890046,4040.0,4265.8,4013.89,4114.01,1001.136565,8629.0,309.419092,1.8319306930693124,,,,-54.5574542858667,-31.769607785922307,-22.78784649994439,251.9100000000003,,-804.7335370000003,,,,,,4056.67,4084.92015625,4112.818571428571,4115.593327636719,,4193.206378403658,19095.0,430.2567933333333,32229.0,504.4313742857143
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,6554.0,100.097974,4236.900000000001,4141.852857142857,,4240.5725390625,4194.443121795655,4212.118917468754,,,,-26.896102127015183,-31.74510491326686,4.849002786251678,206.4300000000003,,-590.9275240000003,,,,,,-0.8185801237717225,4147.0,4371.68,4085.01,4316.01,787.418753,6247.0,206.820412,4.075476247890046,,,,-37.70834690545962,-32.957355609829776,-4.750991295629845,286.6700000000001,,-17.31478400000026,,,,,,4156.673333333333,4200.465078125,4117.237142857143,4165.69749572754,,4204.901961412834,21370.0,313.41156166666667,35049.0,445.9416415714286
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,2260.0,56.190141,4311.376666666667,4170.061428571428,,4289.00626953125,4230.192341346741,4224.054258662206,,,,-13.590598643880185,-28.114203659389528,14.523605015509343,154.59000000000015,,-362.8194560000003,,,,,,1.3252474472692513,4316.01,4453.91,4247.48,4280.68,573.61274,6554.0,100.097974,-0.8185801237717225,,,,-26.896102127015183,-31.74510491326686,4.849002786251678,206.4300000000003,,-590.9275240000003,,,,,,4236.900000000001,4240.5725390625,4141.852857142857,4194.443121795655,,4212.118917468754,21430.0,205.44582599999998,36370.0,321.2601078571428
